phase,coeff,train_episode,eval_episode,epsilon,mean_glucose,time_in_range_percent,hypo_steps,hypo_events,severe_hyper_steps,severe_hyper_events,total_bolus_units,total_basal_units,total_insulin_units,sum_zone_reward,sum_insulin_penalty,total_reward,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count
train,0.5,0,-1,1.0,196.44553311637947,31.25,0,0,4,2,1755.1999999999998,23.47926199261993,1778.6792619926198,-264.0,-877.5999999999999,-1141.6,50,52,56,58,72
train,0.5,1,-1,0.9982,103.7304957809718,70.48611111111111,45,8,0,0,1547.0,23.47926199261993,1570.47926199262,-1377.0,-773.5,-2150.5,60,60,58,56,54
train,0.5,2,-1,0.9964,118.57527122863263,67.70833333333334,34,5,0,0,1541.8999999999999,23.47926199261993,1565.3792619926198,-1096.0,-770.9499999999999,-1866.9499999999998,63,55,62,53,55
train,0.5,3,-1,0.9946,148.61154391459044,84.72222222222221,0,0,0,0,1682.0,23.47926199261993,1705.47926199262,-42.0,-841.0,-883.0,52,53,61,58,64
train,0.5,4,-1,0.9928,138.62388243791548,81.25,18,5,0,0,1480.6,23.47926199261993,1504.0792619926199,-300.0,-740.3,-1040.3,60,68,61,49,50
train,0.5,5,-1,0.991,168.32663803087203,46.875,8,1,0,0,1733.9,23.47926199261993,1757.37926199262,-238.0,-866.95,-1104.95,50,63,43,61,71
train,0.5,6,-1,0.9892,151.492745087828,77.77777777777779,0,0,0,0,1591.1,23.47926199261993,1614.5792619926199,-90.0,-795.55,-885.55,61,45,67,60,55
train,0.5,7,-1,0.9874,172.8761085930802,57.291666666666664,0,0,0,0,1563.5,23.47926199261993,1586.97926199262,144.0,-781.75,-637.75,57,60,69,43,59
train,0.5,8,-1,0.9856,77.04594748141866,35.76388888888889,163,5,0,0,1536.8999999999999,23.47926199261993,1560.3792619926198,-3579.0,-768.4499999999999,-4347.450000000001,63,61,57,50,57
train,0.5,9,-1,0.9838,149.0494388656653,88.54166666666666,0,0,0,0,1491.3,23.47926199261993,1514.77926199262,78.0,-745.65,-667.65,64,66,48,61,49
train,0.5,10,-1,0.982,185.4761061970163,46.52777777777778,0,0,0,0,1710.8000000000002,23.47926199261993,1734.2792619926201,130.0,-855.4000000000001,-725.4000000000001,55,51,53,61,68
train,0.5,11,-1,0.9802,117.62837516865994,31.25,84,8,0,0,1406.1,23.47926199261993,1429.5792619926199,-2024.0,-703.05,-2727.05,66,66,52,67,37
train,0.5,12,-1,0.9784,83.69642130910003,40.27777777777778,151,7,0,0,1491.1,23.47926199261993,1514.5792619926199,-3201.0,-745.55,-3946.55,68,60,58,47,55
train,0.5,13,-1,0.9766,144.46577931588197,71.18055555555556,0,0,0,0,1567.3,23.47926199261993,1590.77926199262,-192.0,-783.65,-975.6500000000001,70,57,41,59,61
train,0.5,14,-1,0.9748,142.42035019556613,27.083333333333332,45,6,0,0,1586.1,23.47926199261993,1609.5792619926199,-1315.0,-793.05,-2108.05,65,47,58,61,57
train,0.5,15,-1,0.973,184.08178367762014,43.05555555555556,0,0,0,0,1762.2999999999997,23.47926199261993,1785.7792619926197,140.0,-881.1499999999999,-741.1500000000001,45,51,60,65,67
train,0.5,16,-1,0.9712,279.31976474391405,6.597222222222222,0,0,93,8,1428.9,23.47926199261993,1452.37926199262,-1079.0,-714.45,-1793.4499999999998,68,61,61,53,45
train,0.5,17,-1,0.9694,91.00249379879352,55.208333333333336,85,10,0,0,1531.1999999999998,23.47926199261993,1554.6792619926198,-2307.0,-765.5999999999999,-3072.6000000000004,61,62,54,59,52
train,0.5,18,-1,0.9676,158.09334193519533,63.19444444444444,7,2,0,0,1516.0,23.47926199261993,1539.47926199262,-223.0,-758.0,-980.9999999999999,69,56,48,63,52
train,0.5,19,-1,0.9658,213.97629747769895,11.805555555555555,0,0,0,0,1527.1999999999998,23.47926199261993,1550.6792619926198,-136.0,-763.5999999999999,-899.5999999999999,65,60,62,41,60
train,0.5,20,-1,0.964,112.7767793740504,68.75,55,8,0,0,1690.9,23.47926199261993,1714.37926199262,-1341.0,-845.45,-2186.45,49,54,52,76,57
train,0.5,21,-1,0.9621999999999999,151.21059024661486,74.65277777777779,6,4,0,0,1567.5,23.47926199261993,1590.97926199262,-114.0,-783.75,-897.7499999999999,69,46,59,55,59
train,0.5,22,-1,0.9604,149.22844499113185,94.79166666666666,0,0,0,0,1615.4,23.47926199261993,1638.87926199262,156.0,-807.7,-651.7,52,66,59,49,62
train,0.5,23,-1,0.9586,203.72450971332,27.77777777777778,0,0,0,0,1463.8,23.47926199261993,1487.27926199262,-40.0,-731.9,-771.8999999999999,66,55,66,55,46
train,0.5,24,-1,0.9568,97.70609838022432,54.513888888888886,103,9,0,0,1583.1,23.47926199261993,1606.5792619926199,-2373.0,-791.55,-3164.55,57,60,55,61,55
train,0.5,25,-1,0.955,196.2327767851658,36.80555555555556,2,2,4,2,1548.0,23.47926199261993,1571.47926199262,-246.0,-774.0,-1020.0,68,55,55,50,60
train,0.5,26,-1,0.9532,249.77946203184476,16.319444444444446,0,0,95,6,1586.7999999999997,23.47926199261993,1610.2792619926197,-1045.0,-793.3999999999999,-1838.4,64,55,59,46,64
train,0.5,27,-1,0.9514,163.39160332340396,75.0,0,0,0,0,1533.4999999999998,23.47926199261993,1556.9792619926197,216.0,-766.7499999999999,-550.75,61,57,60,59,51
train,0.5,28,-1,0.9496,86.83883038493185,46.875,101,14,0,0,1510.1,23.47926199261993,1533.5792619926199,-2517.0,-755.05,-3272.05,53,62,71,57,45
train,0.5,29,-1,0.9478,205.33197462390834,36.80555555555556,0,0,15,5,1604.1,23.47926199261993,1627.5792619926199,-113.0,-802.05,-915.05,60,64,43,60,61
train,0.5,30,-1,0.946,123.24615842625639,87.15277777777779,2,1,0,0,1563.6,23.47926199261993,1587.0792619926199,-546.0,-781.8,-1327.8,69,49,50,64,56
train,0.5,31,-1,0.9442,155.23228499776593,77.77777777777779,0,0,0,0,1499.2,23.47926199261993,1522.67926199262,172.0,-749.6,-577.6,62,63,61,50,52
train,0.5,32,-1,0.9424,242.56431856321726,15.972222222222221,0,0,73,3,1479.8,23.47926199261993,1503.27926199262,-763.0,-739.9,-1502.9,67,60,56,55,50
train,0.5,33,-1,0.9406,236.6959879628621,13.194444444444445,0,0,21,3,1622.0,23.47926199261993,1645.47926199262,-327.0,-811.0,-1138.0,66,48,53,57,64
train,0.5,34,-1,0.9388,193.2534846345976,33.68055555555556,0,0,0,0,1623.1999999999998,23.47926199261993,1646.6792619926198,44.0,-811.5999999999999,-767.5999999999999,58,54,64,48,64
train,0.5,35,-1,0.9369999999999999,226.1175884476524,31.944444444444443,0,0,55,3,1417.9,23.47926199261993,1441.37926199262,-557.0,-708.95,-1265.9499999999998,69,62,57,57,43
train,0.5,36,-1,0.9352,187.2134216544033,53.125,0,0,7,2,1694.3999999999999,23.47926199261993,1717.8792619926198,1.0,-847.1999999999999,-846.2,55,55,52,58,68
train,0.5,37,-1,0.9334,256.2958485598232,9.722222222222223,0,0,84,1,1637.2,23.47926199261993,1660.67926199262,-952.0,-818.6,-1770.6,54,58,56,60,60
train,0.5,38,-1,0.9316,262.21706014673094,8.680555555555555,0,0,73,7,1435.6999999999998,23.47926199261993,1459.1792619926198,-857.0,-717.8499999999999,-1574.85,67,74,53,41,53
train,0.5,39,-1,0.9298,109.48010549100985,76.04166666666666,26,6,0,0,1459.8999999999999,23.47926199261993,1483.3792619926198,-1038.0,-729.9499999999999,-1767.95,68,56,62,55,47
train,0.5,40,-1,0.9279999999999999,169.38493599871487,64.93055555555556,0,0,0,0,1613.3,23.47926199261993,1636.77926199262,30.0,-806.65,-776.6499999999999,56,55,59,61,57
train,0.5,41,-1,0.9262,115.212186258111,88.19444444444444,22,1,0,0,1513.1999999999998,23.47926199261993,1536.6792619926198,-846.0,-756.5999999999999,-1602.6,64,54,66,52,52
train,0.5,42,-1,0.9244,109.35668639920871,77.43055555555556,35,10,0,0,1456.9,23.47926199261993,1480.37926199262,-1155.0,-728.45,-1883.4499999999998,78,51,48,62,49
train,0.5,43,-1,0.9226,80.31868272361885,40.27777777777778,127,15,0,0,1562.8,23.47926199261993,1586.27926199262,-3009.0,-781.4,-3790.4,57,53,62,68,48
train,0.5,44,-1,0.9208000000000001,149.4885995771592,80.20833333333334,0,0,0,0,1521.3999999999999,23.47926199261993,1544.8792619926198,-60.0,-760.6999999999999,-820.6999999999999,62,61,53,62,50
train,0.5,45,-1,0.919,163.20570504978417,65.625,0,0,0,0,1426.5,23.47926199261993,1449.97926199262,40.0,-713.25,-673.25,79,47,56,61,45
train,0.5,46,-1,0.9172,164.3814682912713,72.56944444444444,0,0,0,0,1500.7,23.47926199261993,1524.17926199262,236.0,-750.35,-514.35,65,61,61,46,55
train,0.5,47,-1,0.9154,118.9467672878671,56.94444444444444,80,7,0,0,1477.7,23.47926199261993,1501.17926199262,-1666.0,-738.85,-2404.8500000000004,68,66,49,52,53
train,0.5,48,-1,0.9136,93.45957534217384,65.625,59,6,0,0,1408.6999999999998,23.47926199261993,1432.1792619926198,-1923.0,-704.3499999999999,-2627.3500000000004,60,77,59,49,43
train,0.5,49,-1,0.9117999999999999,327.5956663618933,2.7777777777777777,0,0,220,2,1546.5,23.47926199261993,1569.97926199262,-2248.0,-773.25,-3021.25,59,56,66,54,53
eval,0.5,49,0,0.0,346.43931543737676,6.25,0,0,254,1,739.2,23.47926199261993,762.67926199262,-2532.0,-369.6,-2901.6000000000004,24,264,0,0,0
eval,0.5,49,1,0.0,310.6108494653573,2.7777777777777777,0,0,213,3,744.8000000000001,23.47926199261993,768.27926199262,-2177.0,-372.40000000000003,-2549.4000000000005,22,266,0,0,0
eval,0.5,49,2,0.0,79.62122111599916,37.84722222222222,90,15,0,0,638.8000000000001,23.47926199261993,662.27926199262,-2646.0,-319.40000000000003,-2965.4,62,223,3,0,0
eval,0.5,49,3,0.0,96.5978311942115,71.18055555555556,55,6,0,0,390.0,23.47926199261993,413.4792619926199,-1809.0,-195.0,-2004.0000000000002,153,129,6,0,0
eval,0.5,49,4,0.0,215.83553930471078,5.555555555555555,0,0,2,2,154.79999999999998,23.47926199261993,178.27926199261992,-114.0,-77.39999999999999,-191.4,237,45,6,0,0
train,0.5,50,-1,0.91,134.35275326066292,59.375,33,4,0,0,1478.8,23.47926199261993,1502.27926199262,-993.0,-739.4,-1732.4,71,53,61,51,52
train,0.5,51,-1,0.9082,235.15604775263768,25.34722222222222,0,0,53,4,1347.6,23.47926199261993,1371.0792619926199,-833.0,-673.8,-1506.8000000000002,78,64,49,57,40
train,0.5,52,-1,0.9064,176.38649305374318,57.986111111111114,0,0,0,0,1529.9,23.47926199261993,1553.37926199262,186.0,-764.95,-578.95,70,54,56,49,59
train,0.5,53,-1,0.9046,223.78830946470666,2.083333333333333,0,0,8,5,1279.1,23.47926199261993,1302.5792619926199,-226.0,-639.55,-865.55,92,51,56,50,39
train,0.5,54,-1,0.9028,117.89722426346518,64.93055555555556,68,2,0,0,1519.8999999999999,23.47926199261993,1543.3792619926198,-1402.0,-759.9499999999999,-2161.9500000000003,67,48,71,47,55
train,0.5,55,-1,0.901,200.80071773550435,23.61111111111111,0,0,0,0,1410.6999999999998,23.47926199261993,1434.1792619926198,16.0,-705.3499999999999,-689.3499999999999,81,55,53,48,51
train,0.5,56,-1,0.8992,120.61363112724,76.73611111111111,51,2,0,0,1524.5,23.47926199261993,1547.97926199262,-1101.0,-762.25,-1863.25,76,43,57,55,57
train,0.5,57,-1,0.8974,113.11167358433961,84.72222222222221,24,4,0,0,1579.3999999999999,23.47926199261993,1602.8792619926198,-966.0,-789.6999999999999,-1755.7,61,54,54,65,54
train,0.5,58,-1,0.8956,150.6652252081857,90.97222222222221,0,0,0,0,1411.5,23.47926199261993,1434.97926199262,156.0,-705.75,-549.75,79,51,58,53,47
train,0.5,59,-1,0.8938,184.05921491034513,44.79166666666667,0,0,0,0,1437.1000000000001,23.47926199261993,1460.57926199262,148.0,-718.5500000000001,-570.55,85,49,43,60,51
train,0.5,60,-1,0.892,131.90025009430303,81.59722222222221,7,1,0,0,1367.5,23.47926199261993,1390.97926199262,-485.0,-683.75,-1168.75,83,55,56,47,47
train,0.5,61,-1,0.8902,86.28901943631409,57.291666666666664,101,9,0,0,1560.6,23.47926199261993,1584.0792619926199,-2529.0,-780.3,-3309.3,65,58,43,68,54
train,0.5,62,-1,0.8884,144.6712391173545,36.80555555555556,45,4,0,0,1374.1999999999998,23.47926199261993,1397.6792619926198,-1299.0,-687.0999999999999,-1986.1,82,53,51,60,42
train,0.5,63,-1,0.8866,113.84022617419649,55.90277777777778,86,6,0,0,1516.9,23.47926199261993,1540.37926199262,-1794.0,-758.45,-2552.45,77,50,52,48,61
train,0.5,64,-1,0.8848,316.65258657824626,1.7361111111111112,0,0,198,4,1444.4,23.47926199261993,1467.87926199262,-2050.0,-722.2,-2772.2000000000003,75,55,52,58,48
train,0.5,65,-1,0.883,198.39151325190485,48.95833333333333,0,0,3,3,1515.8999999999999,23.47926199261993,1539.3792619926198,-31.0,-757.9499999999999,-788.9499999999999,76,55,50,44,63
train,0.5,66,-1,0.8812,178.40798437732732,56.59722222222222,0,0,0,0,1417.8,23.47926199261993,1441.27926199262,52.0,-708.9,-656.9000000000001,79,51,54,58,46
train,0.5,67,-1,0.8794,194.85841634657598,35.06944444444444,0,0,0,0,1243.8,23.47926199261993,1267.27926199262,72.0,-621.9,-549.9000000000001,97,50,55,48,38
train,0.5,68,-1,0.8775999999999999,89.52166580218864,50.69444444444444,110,1,0,0,1558.0,23.47926199261993,1581.47926199262,-2622.0,-779.0,-3401.0,58,60,49,73,48
train,0.5,69,-1,0.8758,123.11258147930162,89.93055555555556,5,2,0,0,1655.6999999999998,23.47926199261993,1679.1792619926198,-609.0,-827.8499999999999,-1436.85,76,39,45,55,73
train,0.5,70,-1,0.874,185.1462930392093,54.861111111111114,0,0,0,0,1420.9,23.47926199261993,1444.37926199262,126.0,-710.45,-584.4499999999999,79,54,53,53,49
train,0.5,71,-1,0.8722,134.74824385376093,59.375,23,6,0,0,1470.6,23.47926199261993,1494.0792619926199,-837.0,-735.3,-1572.3000000000002,72,54,56,56,50
train,0.5,72,-1,0.8704000000000001,164.4422161520974,69.44444444444444,0,0,0,0,1492.8,23.47926199261993,1516.27926199262,-66.0,-746.4,-812.4,66,65,49,56,52
train,0.5,73,-1,0.8686,183.49812165354524,38.88888888888889,0,0,0,0,1360.6999999999998,23.47926199261993,1384.1792619926198,70.0,-680.3499999999999,-610.3499999999999,93,54,47,39,55
train,0.5,74,-1,0.8668,143.31542797679992,85.06944444444444,2,2,0,0,1357.1,23.47926199261993,1380.5792619926199,24.0,-678.55,-654.55,84,55,57,45,47
train,0.5,75,-1,0.865,200.47353481859625,26.38888888888889,0,0,0,0,1338.4,23.47926199261993,1361.87926199262,22.0,-669.2,-647.2,87,61,47,45,48
train,0.5,76,-1,0.8632,224.34606076704742,10.76388888888889,0,0,1,1,1341.6,23.47926199261993,1365.0792619926199,-95.0,-670.8,-765.8,93,45,57,45,48
train,0.5,77,-1,0.8613999999999999,147.86946131201432,55.90277777777778,23,4,0,0,1379.6999999999998,23.47926199261993,1403.1792619926198,-725.0,-689.8499999999999,-1414.8500000000001,78,56,53,60,41
train,0.5,78,-1,0.8596,267.5647952138886,7.986111111111111,0,0,78,13,1314.9,23.47926199261993,1338.37926199262,-924.0,-657.45,-1581.4499999999998,90,61,42,50,45
train,0.5,79,-1,0.8578,146.9895045722409,78.47222222222221,1,1,0,0,1466.3999999999999,23.47926199261993,1489.8792619926198,-143.0,-733.1999999999999,-876.2,73,53,53,61,48
train,0.5,80,-1,0.856,335.32251452381416,2.083333333333333,0,0,229,2,1404.0,23.47926199261993,1427.47926199262,-2327.0,-702.0,-3029.0,92,47,41,56,52
