run,tir_mean,tir_std,tir_best,tir_final,reward_mean,reward_std,reward_best,reward_final,hypo_events_mean,hypo_events_final,severe_events_mean,severe_events_final
old_reward,46.95138888888889,13.60482348208008,67.5,26.52777777777778,-835.6599999999999,596.3292181312706,-171.07,-1411.198,2.07,2.4,1.04,1.2
reward_aligned_80_180,43.15625,14.734087044963815,65.41666666666667,22.916666666666664,-785.2770000000002,467.34670542384947,-111.54399999999998,-1356.412,1.8399999999999999,3.0,1.3900000000000001,1.0
