phase,coeff,train_episode,eval_episode,epsilon,mean_glucose,time_in_range_percent,hypo_steps,hypo_events,severe_hyper_steps,severe_hyper_events,total_bolus_units,total_basal_units,total_insulin_units,sum_zone_reward,sum_insulin_penalty,total_reward,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count
train,0.1,14,-1,0.9748,142.54469956916904,26.041666666666668,45,7,0,0,1613.5,23.47926199261993,1636.97926199262,-1323.0,-161.35,-1484.35,55,58,60,56,59
train,0.1,15,-1,0.973,186.2070440942868,41.31944444444444,0,0,0,0,1683.4999999999998,23.47926199261993,1706.9792619926197,122.0,-168.35,-46.349999999999994,51,55,58,61,63
train,0.1,16,-1,0.9712,275.47734286891415,6.597222222222222,0,0,85,4,1657.3,23.47926199261993,1680.77926199262,-1007.0,-165.73000000000002,-1172.73,48,69,55,51,65
train,0.1,17,-1,0.9694,91.15955645787456,55.55555555555556,83,11,0,0,1537.6999999999998,23.47926199261993,1561.1792619926198,-2271.0,-153.76999999999998,-2424.77,54,71,57,53,53
train,0.1,18,-1,0.9676,157.49548603241757,62.84722222222222,7,2,0,0,1563.3000000000002,23.47926199261993,1586.7792619926201,-215.0,-156.32999999999998,-371.33,58,71,44,58,57
train,0.1,19,-1,0.9658,213.0845526860323,12.152777777777777,0,0,0,0,1562.3,23.47926199261993,1585.77926199262,-130.0,-156.23,-286.23,69,50,54,56,59
train,0.1,20,-1,0.964,112.86091741927463,69.09722222222221,53,9,0,0,1599.0,23.47926199261993,1622.47926199262,-1329.0,-159.89999999999998,-1488.9,62,53,53,62,58
train,0.1,21,-1,0.9621999999999999,148.3874652466149,73.26388888888889,12,5,0,0,1667.9,23.47926199261993,1691.37926199262,-214.0,-166.79,-380.79,50,61,56,58,63
train,0.1,22,-1,0.9604,149.06644846335405,95.48611111111111,0,0,0,0,1637.1999999999998,23.47926199261993,1660.6792619926198,164.0,-163.72,0.2799999999999869,50,62,60,56,60
train,0.1,23,-1,0.9586,201.3215670049867,29.166666666666668,0,0,0,0,1612.8,23.47926199261993,1636.27926199262,-28.0,-161.28,-189.28,62,51,55,60,60
train,0.1,24,-1,0.9568,98.43146414378147,55.208333333333336,101,8,0,0,1569.0,23.47926199261993,1592.47926199262,-2343.0,-156.9,-2499.9,67,49,57,57,58
train,0.1,25,-1,0.955,198.00894866016586,36.45833333333333,2,2,4,2,1477.5,23.47926199261993,1500.97926199262,-246.0,-147.75,-393.75,62,70,55,50,51
train,0.1,26,-1,0.9532,247.79243078184476,16.319444444444446,0,0,88,9,1706.6,23.47926199261993,1730.0792619926199,-970.0,-170.66,-1140.6599999999999,55,51,51,65,66
train,0.1,27,-1,0.9514,163.41728040673732,75.69444444444444,0,0,0,0,1582.9999999999998,23.47926199261993,1606.4792619926197,226.0,-158.3,67.7,56,60,56,62,54
train,0.1,28,-1,0.9496,86.94430781548742,47.56944444444444,99,11,0,0,1544.2,23.47926199261993,1567.67926199262,-2487.0,-154.42,-2641.42,54,66,58,60,50
train,0.1,29,-1,0.9478,206.67033399890826,36.45833333333333,0,0,19,3,1469.5,23.47926199261993,1492.97926199262,-149.0,-146.95,-295.95000000000005,70,59,55,53,51
train,0.1,30,-1,0.946,122.01606294014533,86.80555555555556,3,2,0,0,1610.6999999999998,23.47926199261993,1634.1792619926198,-615.0,-161.07,-776.07,61,59,50,55,63
train,0.1,31,-1,0.9442,153.89514090054368,79.51388888888889,0,0,0,0,1629.7,23.47926199261993,1653.17926199262,170.0,-162.97,7.030000000000001,55,52,54,74,53
train,0.1,32,-1,0.9424,238.47241752155054,19.444444444444446,0,0,70,1,1689.2999999999997,23.47926199261993,1712.7792619926197,-720.0,-168.93,-888.93,52,56,55,60,65
train,0.1,33,-1,0.9406,237.09614421286207,13.194444444444445,0,0,21,3,1656.8999999999999,23.47926199261993,1680.3792619926198,-329.0,-165.69,-494.69000000000005,56,50,59,62,61
train,0.1,34,-1,0.9388,193.95294644015323,32.98611111111111,0,0,0,0,1546.1,23.47926199261993,1569.5792619926199,42.0,-154.61,-112.60999999999999,70,55,45,61,57
train,0.1,35,-1,0.9369999999999999,225.04472386431908,31.59722222222222,0,0,49,4,1594.6999999999998,23.47926199261993,1618.1792619926198,-503.0,-159.47,-662.47,71,50,44,60,63
train,0.1,36,-1,0.9352,188.85030533495885,52.083333333333336,0,0,12,2,1586.1,23.47926199261993,1609.5792619926199,-54.0,-158.60999999999999,-212.60999999999999,69,50,56,48,65
train,0.1,37,-1,0.9334,256.1372634903788,9.722222222222223,0,0,84,1,1680.1,23.47926199261993,1703.5792619926199,-952.0,-168.01,-1120.01,61,53,46,59,69
train,0.1,38,-1,0.9316,259.6179802856198,8.680555555555555,0,0,63,5,1640.5,23.47926199261993,1663.97926199262,-767.0,-164.04999999999998,-931.0500000000001,65,52,51,51,69
