phase,coeff,train_episode,eval_episode,epsilon,mean_glucose,time_in_range_percent,hypo_steps,hypo_events,severe_hyper_steps,severe_hyper_events,total_bolus_units,total_basal_units,total_insulin_units,sum_zone_reward,sum_insulin_penalty,total_reward,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count
train,0.3,0,-1,1.0,198.1621216580461,31.25,0,0,5,2,1615.6,23.47926199261993,1639.0792619926199,-269.0,-484.67999999999995,-753.6800000000001,60,53,56,59,60
train,0.3,1,-1,0.9982,104.20860341986067,71.18055555555556,46,8,0,0,1596.8,23.47926199261993,1620.27926199262,-1386.0,-479.03999999999996,-1865.04,62,52,59,55,60
train,0.3,2,-1,0.9964,118.31945401602667,64.58333333333334,33,4,0,0,1531.3999999999999,23.47926199261993,1554.8792619926198,-1069.0,-459.41999999999996,-1528.42,58,53,74,53,50
train,0.3,3,-1,0.9946,150.15907863681275,81.94444444444444,0,0,0,0,1593.3999999999999,23.47926199261993,1616.8792619926198,-18.0,-478.0199999999999,-496.02,53,62,57,62,54
train,0.3,4,-1,0.9928,136.79072271569328,79.86111111111111,24,6,0,0,1670.1999999999998,23.47926199261993,1693.6792619926198,-396.0,-501.05999999999995,-897.0600000000001,53,53,59,61,62
train,0.3,5,-1,0.991,169.25790539198314,47.56944444444444,6,1,0,0,1640.8999999999999,23.47926199261993,1664.3792619926198,-210.0,-492.27,-702.27,54,60,53,60,61
train,0.3,6,-1,0.9892,152.6255055044948,75.69444444444444,0,0,0,0,1606.3,23.47926199261993,1629.77926199262,-86.0,-481.88999999999993,-567.8899999999999,50,68,59,52,59
train,0.3,7,-1,0.9874,171.60372144030248,57.986111111111114,0,0,0,0,1641.8000000000002,23.47926199261993,1665.2792619926201,154.0,-492.53999999999996,-338.53999999999996,52,64,53,57,62
train,0.3,8,-1,0.9856,76.89456310464597,35.41666666666667,162,6,0,0,1560.1999999999998,23.47926199261993,1583.6792619926198,-3564.0,-468.05999999999995,-4032.0600000000004,65,61,52,48,62
train,0.3,9,-1,0.9838,148.39342324066521,88.19444444444444,0,0,0,0,1576.0,23.47926199261993,1599.47926199262,66.0,-472.79999999999995,-406.8,62,61,51,54,60
train,0.3,10,-1,0.982,187.43540307201624,43.05555555555556,0,0,0,0,1546.0,23.47926199261993,1569.47926199262,102.0,-463.79999999999995,-361.79999999999995,69,48,58,57,56
train,0.3,11,-1,0.9802,117.52159584377412,31.944444444444443,84,8,0,0,1450.8,23.47926199261993,1474.27926199262,-2024.0,-435.23999999999995,-2459.2400000000002,65,66,58,51,48
train,0.3,12,-1,0.9784,83.52046557436333,40.27777777777778,150,8,0,0,1451.8999999999999,23.47926199261993,1475.3792619926198,-3180.0,-435.57,-3615.5700000000006,68,67,53,49,51
train,0.3,13,-1,0.9766,142.27377410754858,70.13888888888889,0,0,0,0,1640.1999999999998,23.47926199261993,1663.6792619926198,-214.0,-492.05999999999995,-706.06,67,54,44,53,70
train,0.3,14,-1,0.9748,142.5329894997246,27.083333333333332,44,6,0,0,1616.6,23.47926199261993,1640.0792619926199,-1296.0,-484.97999999999996,-1780.98,63,53,51,59,62
train,0.3,15,-1,0.973,187.82783402484242,38.19444444444444,0,0,0,0,1595.0,23.47926199261993,1618.47926199262,98.0,-478.5,-380.5,64,60,51,47,66
train,0.3,16,-1,0.9712,277.98995571613636,6.597222222222222,0,0,92,7,1516.1999999999998,23.47926199261993,1539.6792619926198,-1070.0,-454.85999999999996,-1524.8600000000001,65,69,47,49,58
train,0.3,17,-1,0.9694,91.44376984046016,55.90277777777778,83,11,0,0,1520.0,23.47926199261993,1543.47926199262,-2277.0,-455.99999999999994,-2733.0,53,70,66,47,52
train,0.3,18,-1,0.9676,159.0420745740842,62.84722222222222,7,2,0,0,1493.6,23.47926199261993,1517.0792619926199,-207.0,-448.08,-655.0799999999999,60,72,53,51,52
train,0.3,19,-1,0.9658,212.90669678325452,11.458333333333332,0,0,0,0,1549.1,23.47926199261993,1572.5792619926199,-130.0,-464.72999999999996,-594.73,63,50,61,63,51
train,0.3,20,-1,0.964,113.9642359712726,70.48611111111111,49,8,0,0,1507.6999999999998,23.47926199261993,1531.1792619926198,-1245.0,-452.30999999999995,-1697.31,69,57,58,47,57
train,0.3,21,-1,0.9621999999999999,149.09490448272604,74.30555555555556,11,5,0,0,1656.7999999999997,23.47926199261993,1680.2792619926197,-199.0,-497.03999999999996,-696.04,66,53,53,40,76
train,0.3,22,-1,0.9604,148.5130543661318,95.48611111111111,0,0,0,0,1579.1,23.47926199261993,1602.5792619926199,152.0,-473.7299999999999,-321.72999999999996,67,52,57,49,63
train,0.3,23,-1,0.9586,202.86122846332006,28.47222222222222,0,0,0,0,1464.2999999999997,23.47926199261993,1487.7792619926197,-32.0,-439.28999999999996,-471.28999999999996,68,65,52,52,51
train,0.3,24,-1,0.9568,98.52919851878147,54.861111111111114,100,9,0,0,1602.0,23.47926199261993,1625.47926199262,-2310.0,-480.5999999999999,-2790.6,55,55,64,58,56
train,0.3,25,-1,0.955,195.77562400738805,37.15277777777778,2,2,3,2,1692.6,23.47926199261993,1716.0792619926199,-231.0,-507.78,-738.7800000000001,53,53,51,69,62
train,0.3,26,-1,0.9532,249.6324915457337,16.319444444444446,0,0,95,6,1584.1999999999998,23.47926199261993,1607.6792619926198,-1041.0,-475.26,-1516.2599999999998,59,62,51,58,58
train,0.3,27,-1,0.9514,163.58472832340394,75.69444444444444,0,0,0,0,1618.1999999999998,23.47926199261993,1641.6792619926198,222.0,-485.46,-263.46,54,57,61,58,58
train,0.3,28,-1,0.9496,87.17936469752512,47.22222222222222,101,13,0,0,1582.4,23.47926199261993,1605.87926199262,-2517.0,-474.71999999999997,-2991.7200000000003,50,60,62,68,48
train,0.3,29,-1,0.9478,205.2535718461305,36.80555555555556,0,0,16,5,1536.0,23.47926199261993,1559.47926199262,-122.0,-460.79999999999995,-582.8,62,60,60,50,56
train,0.3,30,-1,0.946,123.6979466207009,88.88888888888889,2,1,0,0,1538.1,23.47926199261993,1561.5792619926199,-540.0,-461.42999999999995,-1001.4299999999998,61,68,43,63,53
train,0.3,31,-1,0.9442,154.0884134699881,78.47222222222221,0,0,0,0,1537.0,23.47926199261993,1560.47926199262,162.0,-461.0999999999999,-299.0999999999999,67,58,53,52,58
train,0.3,32,-1,0.9424,239.5808116187727,18.055555555555554,0,0,71,2,1635.1999999999998,23.47926199261993,1658.6792619926198,-733.0,-490.55999999999995,-1223.5600000000002,55,51,59,67,56
train,0.3,33,-1,0.9406,236.283783101751,13.194444444444445,0,0,21,3,1731.1999999999998,23.47926199261993,1754.6792619926198,-327.0,-519.3599999999999,-846.3599999999999,47,60,52,61,68
train,0.3,34,-1,0.9388,193.58151414848646,32.98611111111111,0,0,0,0,1631.8999999999999,23.47926199261993,1655.3792619926198,44.0,-489.56999999999994,-445.56999999999994,63,52,56,50,67
train,0.3,35,-1,0.9369999999999999,223.7883349754302,32.29166666666667,0,0,49,4,1632.4,23.47926199261993,1655.87926199262,-499.0,-489.7199999999999,-988.7199999999999,62,51,55,56,64
