phase,coeff,train_episode,eval_episode,epsilon,mean_glucose,time_in_range_percent,hypo_steps,hypo_events,severe_hyper_steps,severe_hyper_events,total_bolus_units,total_basal_units,total_insulin_units,sum_zone_reward,sum_insulin_penalty,total_reward,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count
train,0.1,31,-1,0.9442,194.13902282904206,32.63888888888889,0,0,0,0,1568.1,23.47926199261993,1591.5792619926199,-294.0,-156.81,-450.80999999999995,66,55,55,51,61
train,0.1,32,-1,0.9424,222.92100858654126,32.63888888888889,0,0,45,3,1672.8,23.47926199261993,1696.27926199262,-654.0,-167.27999999999997,-821.28,60,44,51,73,60
train,0.1,33,-1,0.9406,186.45606922384775,54.513888888888886,0,0,14,1,1531.0,23.47926199261993,1554.47926199262,-217.0,-153.1,-370.09999999999997,71,50,51,62,54
train,0.1,34,-1,0.9388,254.93277564315648,9.722222222222223,0,0,84,1,1729.3,23.47926199261993,1752.77926199262,-1164.0,-172.93,-1336.9299999999998,56,46,54,63,69
train,0.1,35,-1,0.9369999999999999,262.1415740356199,8.680555555555555,0,0,69,7,1546.8999999999999,23.47926199261993,1570.3792619926198,-1053.0,-154.69,-1207.69,59,67,47,62,53
train,0.1,36,-1,0.9352,108.74666669763727,75.0,26,6,0,0,1537.6,23.47926199261993,1561.0792619926199,-528.0,-153.76,-681.7600000000002,65,52,65,50,56
train,0.1,37,-1,0.9334,168.55778322093704,65.27777777777779,0,0,0,0,1697.9,23.47926199261993,1721.37926199262,-12.0,-169.79,-181.79000000000002,59,37,62,67,63
train,0.1,38,-1,0.9316,112.89189111922214,86.11111111111111,23,1,0,0,1692.9,23.47926199261993,1716.37926199262,-297.0,-169.29000000000002,-466.29,47,55,62,63,61
train,0.1,39,-1,0.9298,107.5958704269865,77.43055555555556,45,6,0,0,1569.9,23.47926199261993,1593.37926199262,-777.0,-156.99,-933.9900000000002,64,54,58,53,59
eval,0.1,39,0,0.0,79.9671959043888,39.58333333333333,132,12,0,0,1473.0,23.47926199261993,1496.47926199262,-2736.0,-147.3,-2883.3,40,5,198,11,34
eval,0.1,39,1,0.0,135.76573499382567,82.29166666666666,12,4,0,0,2040.6999999999998,23.47926199261993,2064.1792619926196,-150.0,-204.07,-354.07000000000005,84,3,56,10,135
eval,0.1,39,2,0.0,160.65119984145076,69.44444444444444,0,0,0,0,1257.1,23.47926199261993,1280.5792619926199,24.0,-125.71000000000001,-101.71000000000001,168,0,29,4,87
train,0.1,40,-1,0.9279999999999999,163.8671453746046,74.30555555555556,0,0,0,0,1586.3,23.47926199261993,1609.77926199262,66.0,-158.63,-92.62999999999998,53,61,63,56,55
train,0.1,41,-1,0.9262,118.31853094520362,55.90277777777778,83,7,0,0,1571.6,23.47926199261993,1595.0792619926199,-1647.0,-157.15999999999997,-1804.1600000000003,61,60,57,50,60
train,0.1,42,-1,0.9244,93.21385864860468,65.27777777777779,59,6,0,0,1439.9,23.47926199261993,1463.37926199262,-1197.0,-143.99,-1340.9900000000002,59,68,59,63,39
train,0.1,43,-1,0.9226,328.0688087230044,2.7777777777777777,0,0,221,1,1415.4,23.47926199261993,1438.87926199262,-2320.0,-141.54,-2461.5400000000004,82,59,47,46,54
train,0.1,44,-1,0.9208000000000001,340.38660835706764,6.25,0,0,253,1,1660.6,23.47926199261993,1684.0792619926199,-2546.0,-166.06,-2712.0600000000004,47,61,58,64,58
train,0.1,45,-1,0.919,304.85191010036283,2.7777777777777777,0,0,201,3,1679.0,23.47926199261993,1702.47926199262,-2160.0,-167.89999999999998,-2327.9000000000005,55,69,37,57,70
train,0.1,46,-1,0.9172,75.65061537105001,30.90277777777778,110,20,0,0,1622.0,23.47926199261993,1645.47926199262,-2556.0,-162.2,-2718.2000000000003,59,48,65,56,60
train,0.1,47,-1,0.9154,90.32654008200932,65.97222222222221,62,8,0,0,1598.3,23.47926199261993,1621.77926199262,-1230.0,-159.82999999999998,-1389.8300000000002,49,59,66,63,51
